TicketId,Description,Vocabulary
566,JOb got failed due to duplicate issue. Then issue was fixed and job was re-started.,"{'issue', 'to', 'got', 'job', 'then', '.', 're-started', 'failed', 'duplicate', 'and', 'fixed', 'due', 'was'}"
567,Job abended as the oraacle source database was down. The job will be restarted once the Oracle server is restarted.,"{'server', 'abended', 'down', 'the', 'be', 'oraacle', 'source', 'database', 'job', 'oracle', 'restarted', '.', 'is', 'as', 'will', 'once', 'was'}"
568,JOb got failed due to data issue. Then issue was fixed and job was restarted and completed successfully.,"{'issue', 'to', 'completed', 'got', 'data', 'job', 'successfully', 'then', '.', 'restarted', 'failed', 'and', 'fixed', 'due', 'was'}"
569,The job got abended with PIPE ERROR due to database connection Time out. The job was restarted and completed successfully.,"{'got', 'database', 'job', '.', 'error', 'due', 'was', 'the', 'restarted', 'completed', 'to', 'pipe', 'successfully', 'connection', 'with', 'abended', 'time', 'and', 'out'}"
570,JOb got failed due to file unavailability. Then job was restarted once file have been placed in the path,"{'placed', 'to', 'the', 'got', 'file', 'job', 'path', 'then', '.', 'restarted', 'failed', 'in', 'unavailability', 'been', 'have', 'once', 'due', 'was'}"
571,Job got failed due to data issue. Then issue has been fixed and job has been fixed and job has been re-executed and completed,"{'re-executed', 'issue', 'to', 'has', 'got', 'data', 'job', 'then', '.', 'failed', 'and', 'fixed', 'been', 'due', 'completed'}"
572,The job has completed successfully on re-run,"{'on', 'has', 'the', 'successfully', 'job', 'completed', 're-run'}"
573,JOb got failed due to connectivity issue. Then job was restarted and completed successfully.,"{'issue', 'connectivity', 'to', 'got', 'job', 'successfully', 'then', '.', 'restarted', 'failed', 'and', 'completed', 'due', 'was'}"
574,The job ran successfully on re-run,"{'on', 'the', 'successfully', 'ran', 'job', 're-run'}"
575,Job completed at back end successfully.,"{'job', 'successfully', '.', 'end', 'completed', 'at', 'back'}"
576,Job got trigerred wrongly. Hence Job was aborted and cancelled,"{'wrongly', 'got', 'trigerred', 'job', 'cancelled', '.', 'and', 'hence', 'aborted', 'was'}"
577,No source file.,"{'no', '.', 'source', 'file'}"
578,On re-run job completed.,"{'on', 'job', '.', 'completed', 're-run'}"
579,JOb got failed due to name pipe error.Then job was re-executed and completed successfully.,"{'re-executed', 'to', 'got', 'name', 'job', 'pipe', 'error.then', 'successfully', '.', 'failed', 'and', 'completed', 'due', 'was'}"
580,JOb got failed due to file unavailability. Then issue was fixed and job was restarted.,"{'issue', 'to', 'got', 'file', 'job', 'then', '.', 'restarted', 'failed', 'and', 'unavailability', 'fixed', 'due', 'was'}"
581,The job failed due to log in time out error.We have re-executed the job and completed successfully.,"{'re-executed', 'error.we', 'to', 'the', 'time', 'log', 'job', 'successfully', 'in', '.', 'failed', 'and', 'completed', 'out', 'have', 'due'}"
582,JOb was failed due to server issue. Then issue was fixed and job was restarted.,"{'server', 'issue', 'to', 'job', 'then', '.', 'restarted', 'failed', 'and', 'fixed', 'due', 'was'}"
583,The job failed due to log in time out error which has bee re-executed and completed successfully,"{'which', 're-executed', 'to', 'the', 'time', 'has', 'log', 'job', 'successfully', 'in', 'failed', 'and', 'error', 'bee', 'out', 'due', 'completed'}"
584,re-run was successful.,"{'.', 're-run', 'successful', 'was'}"
585,Job got failed due to tdata connectivity issue. Then job was re-started and completed.,"{'issue', 'connectivity', 'to', 'got', 'job', 'then', '.', 're-started', 'failed', 'and', 'completed', 'tdata', 'due', 'was'}"
586,Successful on re- run,"{'re-', 'on', 'successful', 'run'}"
587,Self-lock issue. Job completed by running the query manually.,"{'by', 'issue', 'the', 'running', 'manually', 'job', '.', 'self-lock', 'query', 'completed'}"
588,Source file issue. Job completed once the file is available.,"{'issue', 'the', 'source', 'file', 'job', 'available', '.', 'is', 'completed', 'once'}"
589,The job abended due to database login timeout issue. The job was restarted after database load was free and it got completed successfully.,"{'got', 'database', 'job', '.', 'login', 'due', 'was', 'the', 'after', 'free', 'restarted', 'completed', 'issue', 'to', 'successfully', 'it', 'load', 'abended', 'timeout', 'and'}"
590,The job abended due to duplicate data issue. The issue was fixed and the job was restarted and completed successfully.,"{'abended', 'issue', 'to', 'the', 'completed', 'data', 'job', 'successfully', 'restarted', '.', 'and', 'duplicate', 'fixed', 'due', 'was'}"
591,On re-run job completed successfully.,"{'on', 'job', 'successfully', '.', 'completed', 're-run'}"
592,Job got trigerred wrongly. Hence Job was aborted and cancelled,"{'wrongly', 'got', 'trigerred', 'job', 'cancelled', '.', 'and', 'hence', 'aborted', 'was'}"
593,rerun was successful,"{'was', 'successful', 'rerun'}"
594,The job executed successfully on re-run,"{'on', 'the', 'successfully', 'job', 'executed', 're-run'}"
595,no spool space in db. completed on re-run,"{'db', 'on', 'space', 'in', '.', 'spool', 'no', 'completed', 're-run'}"
596,JOb got failed due to data duplicate issue. Then issue was fixed and job was restarted.,"{'issue', 'to', 'got', 'data', 'job', 'then', '.', 'restarted', 'failed', 'duplicate', 'and', 'fixed', 'due', 'was'}"
597,table has been locked. released tbload,"{'table', 'has', 'released', '.', 'tbload', 'been', 'locked'}"
598,completed successfully on re-running,"{'re-running', 'completed', 'on', 'successfully'}"
599,Job got failed due to process state failure. Then issue was fixed and job was re-started.,"{'issue', 'to', 'failure', 'got', 'job', 'then', '.', 're-started', 'failed', 'state', 'and', 'process', 'fixed', 'due', 'was'}"
600,The job abended with PIPE error due to login timeout issue. THe issue was fixed and the job was restarted and completed successfully.,"{'login', 'abended', 'timeout', 'issue', 'the', 'to', 'completed', 'pipe', 'job', 'restarted', '.', 'successfully', 'and', 'error', 'fixed', 'with', 'due', 'was'}"
601,JOb got failed due to connectivity issue. Then issue was fixed and job was re-started.,"{'issue', 'connectivity', 'to', 'got', 'job', 'then', '.', 're-started', 'failed', 'and', 'fixed', 'due', 'was'}"
602,Confirmed at backend,"{'backend', 'at', 'confirmed'}"
603,Job got abended due to duplicate issue. Then issue has been fixed and job has been re-executed and completed successfully,"{'abended', 're-executed', 'issue', 'to', 'has', 'got', 'job', 'successfully', 'then', '.', 'and', 'duplicate', 'fixed', 'been', 'due', 'completed'}"
604,"source file not available , job completed successfully ,once the source file was available.","{'not', 'the', 'source', 'file', 'available', 'job', 'successfully', '.', 'completed', ',', 'once', 'was'}"
605,The job completed successfully on re-executing the job,"{'on', 'the', 'successfully', 'job', 'completed', 're-executing'}"
606,Job completed successfully by running the query manually.,"{'by', 'the', 'running', 'manually', 'job', 'successfully', '.', 'query', 'completed'}"
607,Self-lock. Job completed by running the query manually.,"{'by', 'the', 'running', 'manually', 'job', '.', 'self-lock', 'query', 'completed'}"
608,Job completed in backend.,"{'backend', 'job', 'in', '.', 'completed'}"
609,Source file issue. Job completed once the file was avaialble.,"{'avaialble', 'issue', 'the', 'source', 'file', 'job', '.', 'completed', 'once', 'was'}"
610,"Table locked , release tbload , the job completed successfully.","{'table', 'the', 'release', 'job', 'successfully', '.', 'tbload', 'completed', ',', 'locked'}"
611,JOb got failed due to data duplicate issue. Then issue was fixed and job was restarted.,"{'issue', 'to', 'got', 'data', 'job', 'then', '.', 'restarted', 'failed', 'duplicate', 'and', 'fixed', 'due', 'was'}"
612,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully.","{'td', 'which', 'by', 'weekend', 'happened', 'jobs', '.', 'there', 'the', 'after', 'team', 'were', 'upgrade', 'fixed', ',', 'completed', 'later', 'successfully', 'over', 're', 'in', 'and', 'processed', 'issues'}"
613,Jobs were getting failed due to extraction issue. Hence job has been cancelled for the day.,"{'getting', 'issue', 'to', 'has', 'the', 'day', 'were', 'jobs', 'job', '.', 'cancelled', 'failed', 'for', 'extraction', 'hence', 'been', 'due'}"
614,wrongly triggered.,"{'.', 'triggered', 'wrongly'}"
615,re run was successfull,"{'re', 'successfull', 'run', 'was'}"
616,The job was killed as it got hanged. We have cancelled the batch for the day.,"{'hanged', 'the', 'day', 'got', 'killed', 'job', 'cancelled', '.', 'batch', 'as', 'it', 'for', 'have', 'we', 'was'}"
617,Job got failed due to connectivity issue. Then job was re-started,"{'issue', 'connectivity', 'to', 'got', 'job', 'then', '.', 're-started', 'failed', 'due', 'was'}"
618,the job abended due to source database connection time out. We are cancelling the batch for the day.,"{'abended', 'to', 'the', 'time', 'day', 'source', 'database', 'job', 'are', '.', 'batch', 'cancelling', 'for', 'connection', 'out', 'we', 'due'}"
619,no source file . completed on re-run,"{'on', 'source', 'file', '.', 'no', 'completed', 're-run'}"
620,Job completed successfully by running the query manually.,"{'by', 'the', 'running', 'manually', 'job', 'successfully', '.', 'query', 'completed'}"
621,self lock. script executed.,"{'lock', 'script', '.', 'executed', 'self'}"
622,The job got abended with PIPE ERROR due to database connection Time out. The job was restarted and completed successfully.,"{'got', 'database', 'job', '.', 'error', 'due', 'was', 'the', 'restarted', 'completed', 'to', 'pipe', 'successfully', 'connection', 'with', 'abended', 'time', 'and', 'out'}"
623,The job completed on re-run,"{'on', 'the', 'job', 'completed', 're-run'}"
624,The job failed due to log in time out error which has bee re-executed and completed successfully,"{'which', 're-executed', 'to', 'the', 'time', 'has', 'log', 'job', 'successfully', 'in', 'failed', 'and', 'error', 'bee', 'out', 'due', 'completed'}"
625,The job ran successfully on re-run,"{'on', 'the', 'successfully', 'ran', 'job', 're-run'}"
626,Job got failed due to tdata outage. Then job was re-started once the outage has been compelted.,"{'outage', 'to', 'the', 'has', 'compelted', 'got', 'job', 'then', '.', 're-started', 'failed', 'been', 'tdata', 'once', 'due', 'was'}"
627,rerun was successful,"{'was', 'successful', 'rerun'}"
628,Job got failed due to connectivity issue. Then job was re-started,"{'issue', 'connectivity', 'to', 'got', 'job', 'then', '.', 're-started', 'failed', 'due', 'was'}"
629,completed on re-run,"{'re-run', 'completed', 'on'}"
630,"Job failed due to AMBIGUOS error. On re-running of the tdata script's manually, the job was completed successfully.","{'on', 'job', 'script', '.', 'failed', 'error', 'tdata', 'due', 'was', 'the', 'completed', ',', 're-running', 'to', 'manually', 'successfully', 'ambiguos', ""'s"", 'of'}"
631,Source file not available.,"{'not', 'source', 'file', 'available', '.'}"
632,login timed out error. Completed on re-run,"{'login', 'on', '.', 'timed', 'error', 'completed', 'out', 're-run'}"
633,Job got failed due to file unavailability. Then job has been re started once the file have been placed in the path.,"{'placed', 'has', 'got', 'job', 'path', 'then', '.', 'failed', 'due', 'the', 'unavailability', 'been', 'once', 'to', 'file', 'have', 'started', 're', 'in'}"
634,The job got killed due to tbload issue. the tbload was removed and the job was restarted and completed successfully.,"{'issue', 'the', 'to', 'got', 'killed', 'job', 'successfully', 'restarted', '.', 'and', 'tbload', 'completed', 'removed', 'due', 'was'}"
635,JOb got failed due to tdata Outage. Then JOb was re started once the outage was over.,"{'outage', 'to', 'started', 'the', 're', 'got', 'over', 'job', 'then', '.', 'failed', 'tdata', 'once', 'due', 'was'}"
636,Job got trigerred incorrectly Hence job was manually aborted.,"{'got', 'manually', 'trigerred', 'job', '.', 'hence', 'incorrectly', 'aborted', 'was'}"
637,re-run was successful.,"{'.', 're-run', 'successful', 'was'}"
638,Job got failed due to connectivity issue. Then job was re-started and completed succcessfully.,"{'issue', 'connectivity', 'to', 'got', 'job', 'then', '.', 're-started', 'failed', 'and', 'succcessfully', 'completed', 'due', 'was'}"
639,completed on re-run,"{'re-run', 'completed', 'on'}"
640,Completed on re-run,"{'re-run', 'completed', 'on'}"
641,self lock. script execueted.,"{'execueted', 'lock', 'script', '.', 'self'}"
642,"wnash access issue , on rerun the job completed successfully.","{'on', 'issue', 'the', 'completed', 'access', 'job', 'successfully', '.', 'wnash', ',', 'rerun'}"
643,Completed on re-run,"{'re-run', 'completed', 'on'}"
644,Source file issue. Job completed after receiving the file.,"{'issue', 'the', 'after', 'source', 'file', 'job', '.', 'completed', 'receiving'}"
645,brj issue. Job re-run once brj is up and completed successfully.,"{'up', 'issue', 'job', 'successfully', '.', 'is', 'and', 'completed', 'once', 're-run', 'brj'}"
646,completed on re-run,"{'re-run', 'completed', 'on'}"
647,Job got failed due to login time out. Then job was re-started.,"{'to', 'time', 'got', 'job', 'then', '.', 're-started', 'failed', 'login', 'out', 'due', 'was'}"
648,JOb was failed due to null value issue. Then issue was fixed and job was restarted.,"{'issue', 'to', 'job', 'then', '.', 'restarted', 'failed', 'value', 'and', 'fixed', 'null', 'due', 'was'}"
649,Job Abended due to Data Issues (i.e. Duplicates/NULL Values/Invalid Data Format). The issue was fixed and the job was restarted and completed successfully.,"{'(', 'job', '.', ')', 'format', 'due', 'was', 'the', 'data', 'i.e', 'restarted', 'fixed', 'completed', 'issue', 'to', 'successfully', 'values/invalid', 'abended', 'and', 'duplicates/null', 'issues'}"
650,Job got failed due to file unavailability. Then issue was fixed and job wass re-started,"{'issue', 'to', 'wass', 'got', 'file', 'job', 'then', '.', 're-started', 'failed', 'and', 'unavailability', 'fixed', 'due', 'was'}"
651,JOb got failed due to tdata Outage. Then JOb was re started once the outage was over.,"{'outage', 'to', 'started', 'the', 're', 'got', 'over', 'job', 'then', '.', 'failed', 'tdata', 'once', 'due', 'was'}"
652,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully.","{'td', 'which', 'by', 'weekend', 'happened', 'jobs', '.', 'there', 'the', 'after', 'team', 'were', 'upgrade', 'fixed', ',', 'completed', 'later', 'successfully', 'over', 're', 'in', 'and', 'processed', 'issues'}"
653,The job failed due to log in time out error.We have re-executed the job and completed successfully.,"{'re-executed', 'error.we', 'to', 'the', 'time', 'log', 'job', 'successfully', 'in', '.', 'failed', 'and', 'completed', 'out', 'have', 'due'}"
654,On re-run job completed successfully.,"{'on', 'job', 'successfully', '.', 'completed', 're-run'}"
655,job cancelled,"{'job', 'cancelled'}"
656,The job abended as the source file is not received. The batch was cancelled for the day.,"{'abended', 'not', 'the', 'day', 'source', 'file', 'job', 'cancelled', 'is', '.', 'as', 'batch', 'for', 'received', 'was'}"
657,The job has completed successfully on re-run,"{'on', 'has', 'the', 'successfully', 'job', 'completed', 're-run'}"
658,Source file not available. Job re-run once the file is available.,"{'not', 'the', 'source', 'file', 'available', 'job', '.', 'is', 'once', 're-run'}"
659,The job ran successfully on re-run,"{'on', 'the', 'successfully', 'ran', 'job', 're-run'}"
660,The job got abended with PIPE error due to database connection time out.,"{'abended', 'the', 'to', 'time', 'got', 'database', 'job', 'pipe', '.', 'error', 'connection', 'out', 'with', 'due'}"
661,On re-run job completed successfully.,"{'on', 'job', 'successfully', '.', 'completed', 're-run'}"
662,self lock. script executed,"{'lock', 'script', '.', 'executed', 'self'}"
663,JOb got failed due to duplicate issue. Then issue was fixed and job was re-started.,"{'issue', 'to', 'got', 'job', 'then', '.', 're-started', 'failed', 'duplicate', 'and', 'fixed', 'due', 'was'}"
664,Job got failed due to name pipe error. THen job was restarted and completed.,"{'to', 'got', 'name', 'job', 'pipe', 'then', '.', 'restarted', 'failed', 'and', 'error', 'completed', 'due', 'was'}"
665,On re-run job completed successfully.,"{'on', 'job', 'successfully', '.', 'completed', 're-run'}"
666,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully.","{'td', 'which', 'by', 'weekend', 'happened', 'jobs', '.', 'there', 'the', 'after', 'team', 'were', 'upgrade', 'fixed', ',', 'completed', 'later', 'successfully', 'over', 're', 'in', 'and', 'processed', 'issues'}"
667,the job completed on rerun,"{'on', 'the', 'job', 'completed', 'rerun'}"
668,Job got abended due to count mismatch. Then issue has been fixed and job has been re-executed and compelted sucecssfully,"{'count', 'abended', 're-executed', 'issue', 'to', 'has', 'sucecssfully', 'got', 'job', 'then', '.', 'mismatch', 'and', 'fixed', 'been', 'compelted', 'due'}"
669,self lock. script executed.,"{'lock', 'script', '.', 'executed', 'self'}"
670,JOb got failed due to name pipe error issue. Then job was re-started and completed successfully,"{'issue', 'to', 'got', 'name', 'job', 'pipe', 'then', '.', 're-started', 'failed', 'and', 'successfully', 'error', 'completed', 'due', 'was'}"
671,brj issue. completed on re-run,"{'on', 'issue', '.', 'completed', 're-run', 'brj'}"
672,Batch Issues. Jobs were re-run successfully.,"{'were', 'jobs', 'successfully', '.', 'batch', 'issues', 're-run'}"
673,on rerun the job completed successfully.,"{'on', 'the', 'job', 'successfully', '.', 'completed', 'rerun'}"
674,The job completed successfully on re-executing the job,"{'on', 'the', 'successfully', 'job', 'completed', 're-executing'}"
675,Job got abended due to duplicate issue. Then issue has been fixed and job  has been re-executed and completed successfully.,"{'abended', 're-executed', 'issue', 'to', 'has', 'got', 'job', 'successfully', 'then', '.', 'and', 'duplicate', 'fixed', 'been', 'due', 'completed'}"
676,brj issue. Job re-run once brj is up and completed successfully.,"{'up', 'issue', 'job', 'successfully', '.', 'is', 'and', 'completed', 'once', 're-run', 'brj'}"
677,JOb got failed due to tdata Outage. Then JOb was re started once the outage was over.,"{'outage', 'to', 'started', 'the', 're', 'got', 'over', 'job', 'then', '.', 'failed', 'tdata', 'once', 'due', 'was'}"
678,Job got failed due to tdata outage. Then job was re-started once the outage has been compelted.,"{'outage', 'to', 'the', 'has', 'compelted', 'got', 'job', 'then', '.', 're-started', 'failed', 'been', 'tdata', 'once', 'due', 'was'}"
679,The job was successful on re-run,"{'on', 'the', 'job', 're-run', 'successful', 'was'}"
680,The job abended as the source connection was not active. We have cancelled the batch for the day's run.,"{'abended', 'not', 'run', 'the', 'day', ""'s"", 'source', 'job', 'cancelled', '.', 'batch', 'as', 'for', 'we', 'connection', 'have', 'active', 'was'}"
681,self lock. script executed.,"{'lock', 'script', '.', 'executed', 'self'}"
682,Job got failed due to data issue. Then issue was fixed and job was re started.,"{'issue', 'to', 'started', 're', 'got', 'data', 'job', 'then', '.', 'failed', 'and', 'fixed', 'due', 'was'}"
683,brj issue. Job re-run once brj is up and completed successfully.,"{'up', 'issue', 'job', 'successfully', '.', 'is', 'and', 'completed', 'once', 're-run', 'brj'}"
684,On re-run job completed successfully.,"{'on', 'job', 'successfully', '.', 'completed', 're-run'}"
685,Job completed after source file is arrived.,"{'after', 'arrived', 'source', 'file', 'job', 'is', '.', 'completed'}"
686,TODS issue.,"{'tods', '.', 'issue'}"
687,Source file issue. Job re-run once the file was available.,"{'issue', 'the', 'source', 'file', 'job', 'available', '.', 'once', 're-run', 'was'}"
688,completed on re-run,"{'re-run', 'completed', 'on'}"
689,Source file unavailability. ,"{'.', 'source', 'file', 'unavailability'}"
690,Source file issue. Job re-run once the file was available.,"{'issue', 'the', 'source', 'file', 'job', 'available', '.', 'once', 're-run', 'was'}"
691,"
The job failed due to duplicate records .We have re-executed the job after deleteing the invalid records and the job completed successfully.","{'invalid', 're-executed', 'to', 'the', 'after', 'deleteing', 'job', 'successfully', 'records', '.', 'failed', 'duplicate', 'and', '.we', 'completed', 'have', 'due'}"
692,completed on re-run,"{'re-run', 'completed', 'on'}"
693,JOb got failed due to data duplicate issue. Then issue was fixed and job was restarted.,"{'issue', 'to', 'got', 'data', 'job', 'then', '.', 'restarted', 'failed', 'duplicate', 'and', 'fixed', 'due', 'was'}"
694,on rerun the job completed successfully,"{'on', 'the', 'job', 'successfully', 'completed', 'rerun'}"
695,Job got failed due to tdata outage. Then job was re-started once the outage has been compelted.,"{'outage', 'to', 'the', 'has', 'compelted', 'got', 'job', 'then', '.', 're-started', 'failed', 'been', 'tdata', 'once', 'due', 'was'}"
696,Failed due to Row count file issue. And the file was moved to arrival area and the job was successful.,"{'moved', 'count', 'issue', 'arrival', 'to', 'the', 'file', 'job', 'successful', '.', 'failed', 'and', 'area', 'was', 'due', 'row'}"
697,"Job failed due to AMBIGUOS error. On re-running of the tdata script's manually, the job was completed successfully.","{'on', 'job', 'script', '.', 'failed', 'error', 'tdata', 'due', 'was', 'the', 'completed', ',', 're-running', 'to', 'manually', 'successfully', 'ambiguos', ""'s"", 'of'}"
698,"Source file unavailability , job completed successfully after receiving the updated file.","{'the', 'after', 'source', 'file', 'job', 'successfully', '.', 'updated', 'unavailability', 'completed', ',', 'receiving'}"
699,Job got falied due to connectivity issue. Then job was completed on successful re-run,"{'issue', 'connectivity', 'to', 'on', 'got', 'successful', 'job', 'then', '.', 'falied', 'completed', 're-run', 'due', 'was'}"
700,completed successfully on re-running,"{'re-running', 'completed', 'on', 'successfully'}"
701,completed on re run,"{'completed', 're', 'on', 'run'}"
702,The job completed successfully on re-executing the job,"{'on', 'the', 'successfully', 'job', 'completed', 're-executing'}"
703,Self-lock. Job completed by running the query manually.,"{'by', 'the', 'running', 'manually', 'job', '.', 'self-lock', 'query', 'completed'}"
704,completed on re-run,"{'re-run', 'completed', 'on'}"
705,Job got failed due to name pipe error. THen job was restarted and completed.,"{'to', 'got', 'name', 'job', 'pipe', 'then', '.', 'restarted', 'failed', 'and', 'error', 'completed', 'due', 'was'}"
706,Job got failed due to connectivity issue. Then job was re-started,"{'issue', 'connectivity', 'to', 'got', 'job', 'then', '.', 're-started', 'failed', 'due', 'was'}"
707,The job completeled successfully on rerun,"{'on', 'completeled', 'the', 'successfully', 'job', 'rerun'}"
708,The completed successfully on rerun,"{'on', 'the', 'successfully', 'completed', 'rerun'}"
709,The job ran successfully on re-run,"{'on', 'the', 'successfully', 'ran', 'job', 're-run'}"
710,brj issue. completed on re-run,"{'on', 'issue', '.', 'completed', 're-run', 'brj'}"
711,completed on re-run,"{'re-run', 'completed', 'on'}"
712,Source file issue. ,"{'.', 'source', 'issue', 'file'}"
713,Self-lock. Job completed by running the query manually.,"{'by', 'the', 'running', 'manually', 'job', '.', 'self-lock', 'query', 'completed'}"
714,brj issue. Job re-run once brj is up and completed successfully.,"{'up', 'issue', 'job', 'successfully', '.', 'is', 'and', 'completed', 'once', 're-run', 'brj'}"
715,Job got failed due to tdata outage. Then job was re-started once the outage has been compelted.,"{'outage', 'to', 'the', 'has', 'compelted', 'got', 'job', 'then', '.', 're-started', 'failed', 'been', 'tdata', 'once', 'due', 'was'}"
716,re run was successfull,"{'re', 'successfull', 'run', 'was'}"
717,JOb got failed due to tbload issue. Then issue has been fixed and job was re-started.,"{'issue', 'to', 'has', 'got', 'job', 'then', '.', 're-started', 'failed', 'tbload', 'and', 'fixed', 'been', 'due', 'was'}"
718,Source file issue. Job completed once the file was avaialble.,"{'avaialble', 'issue', 'the', 'source', 'file', 'job', '.', 'completed', 'once', 'was'}"
719,"There was an issue with TD upgrade, fix was later provided by DBA after which jobs are rerun  and completed successfully","{'td', 'which', 'by', 'jobs', 'provided', 'there', 'was', 'after', 'dba', 'upgrade', 'completed', ',', 'rerun', 'issue', 'an', 'later', 'successfully', 'fix', 'with', 'are', 'and'}"
720,no spool space in db. completed on re-run,"{'db', 'on', 'space', 'in', '.', 'spool', 'no', 'completed', 're-run'}"
721,Self-lock occured. Job completed after running the query manually.,"{'occured', 'after', 'the', 'running', 'manually', 'job', '.', 'self-lock', 'query', 'completed'}"
722,no source file.,"{'no', '.', 'source', 'file'}"
723,"There was an issue with TD upgrade, fix was later provided by DBA after which jobs are rerun  and completed successfully","{'td', 'which', 'by', 'jobs', 'provided', 'there', 'was', 'after', 'dba', 'upgrade', 'completed', ',', 'rerun', 'issue', 'an', 'later', 'successfully', 'fix', 'with', 'are', 'and'}"
724,No source file.,"{'no', '.', 'source', 'file'}"
725,The job failed due to log in time out error.We have re-executed the job and completed successfully.,"{'re-executed', 'error.we', 'to', 'the', 'time', 'log', 'job', 'successfully', 'in', '.', 'failed', 'and', 'completed', 'out', 'have', 'due'}"
726,The job failed due to log in time out error.We have re-executed the job and completed successfully.,"{'re-executed', 'error.we', 'to', 'the', 'time', 'log', 'job', 'successfully', 'in', '.', 'failed', 'and', 'completed', 'out', 'have', 'due'}"
727,The job ran successfully on re-run,"{'on', 'the', 'successfully', 'ran', 'job', 're-run'}"
728,"wnash access issue , on rerun the job completed successfully.","{'on', 'issue', 'the', 'completed', 'access', 'job', 'successfully', '.', 'wnash', ',', 'rerun'}"
729,"on rerun the job completed successfully , by changing the SP value","{'by', 'on', 'the', 'sp', 'job', 'successfully', 'value', 'changing', 'completed', ',', 'rerun'}"
730,The job has been completed successfully on re-run.,"{'on', 'has', 'the', 'job', 'successfully', '.', 'completed', 'been', 're-run'}"
731,JOb got failed due to duplicate issue. Then issue was fixed and job was re-started.,"{'issue', 'to', 'got', 'job', 'then', '.', 're-started', 'failed', 'duplicate', 'and', 'fixed', 'due', 'was'}"
732,login timed out error & completed on re-run,"{'login', 'on', '&', 'timed', 'error', 'completed', 'out', 're-run'}"
733,Job got failed due to tdata connectivity issue. Then issue has been fixed and job was re-started.,"{'issue', 'connectivity', 'to', 'has', 'got', 'job', 'then', '.', 're-started', 'failed', 'and', 'fixed', 'been', 'tdata', 'due', 'was'}"
734,Self-lock occured. Job completed by running the query manually.,"{'by', 'occured', 'the', 'running', 'manually', 'job', '.', 'self-lock', 'query', 'completed'}"
735,On re-run job completed successfully.,"{'on', 'job', 'successfully', '.', 'completed', 're-run'}"
736,Job got failed due to extraction issue. Hene batch has been canceelled for the day.,"{'issue', 'to', 'has', 'the', 'day', 'got', 'job', '.', 'batch', 'failed', 'for', 'extraction', 'canceelled', 'been', 'hene', 'due'}"
737,JOb got failed due to file unavailability. Then job was restarted once file have been placed in the path,"{'placed', 'to', 'the', 'got', 'file', 'job', 'path', 'then', '.', 'restarted', 'failed', 'in', 'unavailability', 'been', 'have', 'once', 'due', 'was'}"
738,The job completed successfully on re-executing the job,"{'on', 'the', 'successfully', 'job', 'completed', 're-executing'}"
739,JOb got failed due to file unavailability. Then issue was fixed and job was restarted.,"{'issue', 'to', 'got', 'file', 'job', 'then', '.', 'restarted', 'failed', 'and', 'unavailability', 'fixed', 'due', 'was'}"
740,Job was cancelled.,"{'cancelled', '.', 'job', 'was'}"
741,"self lock. script executed.
","{'lock', 'script', '.', 'executed', 'self'}"
742,Job got failed due to  incorrect stream closure. Then issue was fixed and JOb was restarted and completed,"{'incorrect', 'issue', 'to', 'completed', 'stream', 'closure', 'got', 'job', 'then', '.', 'restarted', 'failed', 'and', 'fixed', 'due', 'was'}"
743,the job failed due to row count mismatch between source file and the ODS table. We have requested the source team to place the source files again. The job completed after placing the source file in the source path.,"{'between', 'table', 'place', 'files', 'job', 'path', '.', 'failed', 'due', 'the', 'after', 'team', 'completed', 'we', 'placing', 'to', 'file', 'ods', 'have', 'row', 'again', 'count', 'source', 'in', 'mismatch', 'and', 'requested'}"
744,The job abended as the source file is not received. The batch was cancelled for the day.,"{'abended', 'not', 'the', 'day', 'source', 'file', 'job', 'cancelled', 'is', '.', 'as', 'batch', 'for', 'received', 'was'}"
745,The job failed due to file unavailability.This has been resolved after file recieved and re-execution.,"{'to', 'the', 'has', 'resolved', 'after', 're-execution', 'file', 'job', 'recieved', '.', 'failed', 'unavailability.this', 'and', 'been', 'due'}"
746,Self-lock occured. Job completed on re-run,"{'on', 'occured', 'job', '.', 'self-lock', 'completed', 're-run'}"
747,Source file not available. Job re-run once the file is available.,"{'not', 'the', 'source', 'file', 'available', 'job', '.', 'is', 'once', 're-run'}"
748,The job failed due to file unavailability.The job completed later.,"{'to', 'the', 'unavailability.the', 'file', 'job', 'later', '.', 'failed', 'completed', 'due'}"
749,Wrongly triggered,"{'triggered', 'wrongly'}"
750,The job has been cancelled,"{'has', 'the', 'job', 'cancelled', 'been'}"
751,table has been locked.completed on run after tbload release,"{'table', 'on', 'run', 'has', 'after', 'release', 'tbload', 'been', 'locked.completed'}"
752,The job got abended with PIPE error due to database connection time out.,"{'abended', 'the', 'to', 'time', 'got', 'database', 'job', 'pipe', '.', 'error', 'connection', 'out', 'with', 'due'}"
753,brj issue. Job re-run once brj is up and completed successfully.,"{'up', 'issue', 'job', 'successfully', '.', 'is', 'and', 'completed', 'once', 're-run', 'brj'}"
754,no spool space in db. completed on re-run,"{'db', 'on', 'space', 'in', '.', 'spool', 'no', 'completed', 're-run'}"
